;Fisheries_Recreational;Fisheries_Demersal;Dredging;Fisheries_Pelagic;Phyto;Demersal_Fish_Small;Pelagic_Fish_Small;Seabirds;Seals;Zooplankton;Litter;Temperature;Extraction_Pelagic_Species;Runoff;CO2_Emissions;Noise;Employment;Tourism;Recovery_LargeFish;Seafood_Value;Nutrients;MPAs;Eelgrass;Habitat_recovery;Water_quality;Food_Supply;Regional_growth;GES;Biodiversity;Renewable_Energy;Shipping;C_installations;Recreational_boating;Renew_Energy_installations;Aquaculture;Military;Land_Use;Abrasion;Smothering;Placement_Hard_Structures;Coastal_recreation;Pollution;Alien_Species;Pelagic_Fish_Large;Demersal_Fish_Large;Crustaceans;Porpoise;Flatfish;Macro_algea;Cephalopods;Benthos;Fishing_mortality;Gear_regulations;Effort_regulations;Coast_Habitat_Restore;Restocking;Seal_Culling;Commercial_Value_Other;Oxygen;Filamentous_algea;Demersal_Extraction;Reduced_CO2;Recreational_extraction
Noise;;;;;;-0.5;-0.5;-0.25;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;-0.5;-0.5;-0.5;-0.5;;-0.5;;;;;;;;;;;;;
Employment;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tourism;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recovery_LargeFish;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seafood_Value;;;;;;;;;;;;;;;;;;;;;;;;;;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutrients;;;;;0.5;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;-0.5;0.5;;;
MPAs;0.5;-0.5;-0.5;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;-0.5;-0.5;-0.5;-0.5;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;
Eelgrass;;;;;;0.25;0.25;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.25;;;;;;0.5;;;;;;;;;;;;
Habitat_recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Water_quality;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Food_Supply;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regional_growth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biodiversity;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renewable_Energy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipping;;;;;;;;;;;0.25;;;;0.5;0.5;0.5;;;;;;;;;0.5;;;;;;;;;;;;0.25;0.25;;;0.25;0.47;;;;;;;;;;;;;;;0.5;;;;;
C_installations;;;;;;;;;;;0.25;;;0.25;0.25;0.25;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;0.5;;0.25;;;;;;;;;;;;;;;;0.25;;;;;
Recreational_boating;;;;;;;;;;;0.25;;;;0.25;0.25;0.25;0.5;;;;;;;;;;;;;;;;;;;;0.5;;;;0.25;0.5;;;;;;;;;;;;;;;;;;;;
Renew_Energy_installations;;;;;;;;;;;;;;;-0.5;0.5;0.25;;;;;;;;;;;;;0.5;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.5;;;;;
Aquaculture;;;;;;;;;;;0.25;;;;0.25;0.25;0.5;;;0.5;;;;;;0.5;;;;;;;;;;;;0.25;;;;0.25;;;;;;;;;;;;;;;;;;;;;
Military;;;;;;;;;;;0.25;;;;0.5;0.5;0.25;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;
Land_Use;;;;;;;;;;;0.5;;;0.5;0.5;;0.5;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.5;;;;;
Abrasion;;;;;;;;;;;;;;;;;;;;;;;-0.44;;;;;;;;;;;;;;;;;;;;;;;-0.5;;;-0.5;;-0.47;;;;;;;;;;;;
Smothering;;;;;;;;;;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;
Placement_Hard_Structures;;;;;;0.25;-0.25;-0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;0.25;;-0.22;;;;0.22;;;;;;;;;;;;
Coastal_recreation;;;;;;;;;;;0.5;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pollution;;;;;;-0.22;-0.25;-0.47;-0.5;;;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;-0.47;-0.25;-0.25;-0.47;-0.25;;-0.22;;;;;;;;;;;;;
Alien_Species;;;;;;;;;;-0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.25;;;-0.25;;-0.25;;;;;;;;;;;;
Pelagic_Fish_Large;;;;;;;-0.5;;;-0.25;;;;;;;;;0.5;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demersal_Fish_Large;;;;;;-0.5;-0.5;;0.25;;;;;;;;;;0.5;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;-0.25;;-0.25;;;-0.25;;;;;;;;;;;;
Crustaceans;;;;;;0.5;;;;-0.5;;;;;;;;;;;;;;;;;;;0.47;;;;;;;;;;;;;;;;0.25;;;0.5;;;-0.5;;;;;;;;;;;;
Porpoise;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;-0.25;;;;;;;;;;;;;
Flatfish;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.25;-0.5;;;;;-0.5;;;;;;;;;;;;
Macro_algea;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.25;;;;;;0.5;;;;;;;;;;;;
Cephalopods;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;
Benthos;;;;;;0.5;;;;-0.5;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.25;0.5;;0.5;;;;;;;;;;;;-0.5;;;
Fishing_mortality;-0.25;-0.5;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gear_regulations;-0.25;-0.25;;-0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Effort_regulations;-0.5;-0.5;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coast_Habitat_Restore;;;;;;0.25;;0.25;;;;;;;;;;;;;;;0.5;;;;;;;;;-0.25;;;;;;;;;;;;;0.25;0.5;;;;;0.5;;;;;;;;;;;;
Restocking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.25;0.5;;;;;;;;;;;;;;;;;
Seal_Culling;;;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Commercial_Value_Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oxygen;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;0.5;;;;;;;;;;;;
Filamentous_algea;;;;;;;;;;;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;;0.5;;;;;;;;;;;;
Demersal_Extraction;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;-0.5;;-0.5;-0.31;;-0.25;;;;;;;;;;;;
Reduced_CO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recreational_extraction;;;;;;-0.25;-0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.25;-0.25;-0.25;;-0.25;;;;;;;;;;;;;;;
